CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
aee31d45a70c   case2-edgeIoTDevSim-1    0.00%     48.96MiB / 500MiB     9.79%     2.28MB / 23kB     0B / 0B     21
9b541bd08d59   cloud_broker             3.08%     64.85MiB / 31.35GiB   0.20%     2.28MB / 25.3kB   0B / 0B     21
7fe0e8872011   case2-mongodb-1          0.38%     90.77MiB / 31.35GiB   0.28%     19.3kB / 11.1kB   0B / 0B     43
d9607c54902e   case2-edgeIoTDevSim-7    0.00%     49.04MiB / 500MiB     9.81%     2.27MB / 26.4kB   0B / 0B     21
98eb09368e2c   case2-edgeIoTDevSim-3    0.00%     46.91MiB / 500MiB     9.38%     2.28MB / 23.3kB   0B / 0B     21
d3c892f1bea9   cloud_client             1.74%     49.55MiB / 31.35GiB   0.15%     2.28MB / 22.3kB   0B / 0B     21
1a3ee561cd94   case2-edgeIoTDevSim-9    0.00%     44.78MiB / 500MiB     8.96%     2.28MB / 30.5kB   0B / 0B     21
d45d62482136   case2-edgeIoTDevSim-10   0.00%     48.8MiB / 500MiB      9.76%     2.27MB / 24.1kB   0B / 0B     21
4af7e856a5c3   edge_broker              8.37%     66.41MiB / 31.35GiB   0.21%     2.29MB / 55kB     0B / 0B     21
590beb10cb13   cloud_publisher          0.00%     46.96MiB / 31.35GiB   0.15%     2.28MB / 26.5kB   0B / 0B     21
a8a260b316c7   case2-edgeIoTDevSim-2    0.00%     48.8MiB / 500MiB      9.76%     2.28MB / 26.5kB   0B / 0B     21
dc0297962cca   case2-edgeIoTDevSim-8    0.00%     46.96MiB / 500MiB     9.39%     2.28MB / 25.5kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
1fe31cc85306   edge_data_manager        1.83%     66.28MiB / 31.35GiB   0.21%     2.28MB / 27.3kB   0B / 0B     31
9ecf84aa221b   cloud_server             0.14%     67.37MiB / 31.35GiB   0.21%     2.28MB / 43.5kB   0B / 0B     31
fd7e0ba8a7a5   edge_subscriber          0.08%     45.61MiB / 31.35GiB   0.14%     2.28MB / 31.3kB   0B / 0B     21
34d1c0dc9803   case2-edgeIoTDevSim-6    0.00%     46.83MiB / 500MiB     9.37%     2.28MB / 29kB     0B / 0B     21
150cb8d94be8   edge_iot_smart_dev       0.14%     47.37MiB / 31.35GiB   0.15%     2.28MB / 24.1kB   0B / 0B     21
8b80ede0e753   case2-edgeIoTDevSim-5    0.00%     51.11MiB / 500MiB     10.22%    2.28MB / 24.1kB   0B / 0B     21
8d856a63f6cd   case2-edgeIoTDevSim-4    0.00%     46.93MiB / 500MiB     9.39%     2.28MB / 25.6kB   0B / 0B     21
aee31d45a70c   case2-edgeIoTDevSim-1    0.00%     48.98MiB / 500MiB     9.80%     2.28MB / 23.2kB   0B / 0B     21
9b541bd08d59   cloud_broker             0.00%     64.85MiB / 31.35GiB   0.20%     2.28MB / 25.3kB   0B / 0B     21
7fe0e8872011   case2-mongodb-1          0.68%     90.78MiB / 31.35GiB   0.28%     21.6kB / 12.5kB   0B / 0B     43
d9607c54902e   case2-edgeIoTDevSim-7    0.07%     49.06MiB / 500MiB     9.81%     2.27MB / 26.6kB   0B / 0B     21
98eb09368e2c   case2-edgeIoTDevSim-3    0.00%     46.91MiB / 500MiB     9.38%     2.28MB / 23.3kB   0B / 0B     21
d3c892f1bea9   cloud_client             0.00%     49.55MiB / 31.35GiB   0.15%     2.28MB / 22.3kB   0B / 0B     21
1a3ee561cd94   case2-edgeIoTDevSim-9    0.00%     44.78MiB / 500MiB     8.96%     2.28MB / 30.5kB   0B / 0B     21
d45d62482136   case2-edgeIoTDevSim-10   0.00%     48.8MiB / 500MiB      9.76%     2.27MB / 24.1kB   0B / 0B     21
4af7e856a5c3   edge_broker              0.16%     66.06MiB / 31.35GiB   0.21%     2.29MB / 57.6kB   0B / 0B     21
590beb10cb13   cloud_publisher          0.00%     46.96MiB / 31.35GiB   0.15%     2.28MB / 26.5kB   0B / 0B     21
a8a260b316c7   case2-edgeIoTDevSim-2    0.00%     48.8MiB / 500MiB      9.76%     2.28MB / 26.5kB   0B / 0B     21
dc0297962cca   case2-edgeIoTDevSim-8    0.00%     46.96MiB / 500MiB     9.39%     2.28MB / 25.5kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
1fe31cc85306   edge_data_manager        0.00%     66.14MiB / 31.35GiB   0.21%     2.28MB / 27.6kB   0B / 0B     31
9ecf84aa221b   cloud_server             0.00%     67.37MiB / 31.35GiB   0.21%     2.28MB / 43.5kB   0B / 0B     31
fd7e0ba8a7a5   edge_subscriber          0.29%     45.99MiB / 31.35GiB   0.14%     2.28MB / 31.7kB   0B / 0B     21
34d1c0dc9803   case2-edgeIoTDevSim-6    0.06%     46.85MiB / 500MiB     9.37%     2.28MB / 29.2kB   0B / 0B     21
150cb8d94be8   edge_iot_smart_dev       0.15%     47.48MiB / 31.35GiB   0.15%     2.28MB / 24.1kB   0B / 0B     21
8b80ede0e753   case2-edgeIoTDevSim-5    0.00%     51.11MiB / 500MiB     10.22%    2.28MB / 24.1kB   0B / 0B     21
8d856a63f6cd   case2-edgeIoTDevSim-4    0.00%     46.93MiB / 500MiB     9.39%     2.28MB / 25.6kB   0B / 0B     21
aee31d45a70c   case2-edgeIoTDevSim-1    0.00%     48.98MiB / 500MiB     9.80%     2.28MB / 23.2kB   0B / 0B     21
9b541bd08d59   cloud_broker             0.00%     64.5MiB / 31.35GiB    0.20%     2.28MB / 25.3kB   0B / 0B     21
7fe0e8872011   case2-mongodb-1          0.54%     92.77MiB / 31.35GiB   0.29%     25.1kB / 14kB     0B / 0B     43
d9607c54902e   case2-edgeIoTDevSim-7    0.00%     49.06MiB / 500MiB     9.81%     2.27MB / 26.6kB   0B / 0B     21
98eb09368e2c   case2-edgeIoTDevSim-3    0.00%     47.18MiB / 500MiB     9.44%     2.28MB / 23.5kB   0B / 0B     21
d3c892f1bea9   cloud_client             0.00%     49.55MiB / 31.35GiB   0.15%     2.28MB / 22.3kB   0B / 0B     21
